Destinatio,Origin,Population,id,iso_n3
Pakistan,Afghanistan,"1397113","2279","004"
Iran,Afghanistan,"951142","1538","004"
Germany,Afghanistan,"116664","1204","004"
Austria,Afghanistan,"29983","175","004"
Sweden,Afghanistan,"27288","2727","004"
Italy,Afghanistan,"17077","1623","004"
France,Afghanistan,"15876","1059","004"
Australia,Afghanistan,"11618","89","004"
Switz.,Afghanistan,"10084","2828","004"
UK,Afghanistan,"9559","3089","004"
France,Albania,"4684","1060","008"
UK,Albania,"2450","3090","008"
USA,Albania,"1518","3210","008"
Germany,Albania,"1103","1205","008"
Canada,Albania,"885","505","008"
Belgium,Albania,"701","272","008"
Italy,Albania,"617","1624","008"
Sweden,Albania,"332","2728","008"
Greece,Albania,"154","1360","008"
Austria,Albania,"85","176","008"
France,Algeria,"1704","1061","012"
Germany,Algeria,"574","1206","012"
Canada,Algeria,"425","506","012"
UK,Algeria,"330","3091","012"
Italy,Algeria,"191","1625","012"
Ireland,Algeria,"189","1552","012"
Switz.,Algeria,"159","2830","012"
USA,Algeria,"135","3211","012"
Greece,Algeria,"79","1361","012"
Belgium,Algeria,"70","273","012"
France,Angola,"3454","1062","024"
Brazil,Angola,"1128","392","024"
Germany,Angola,"848","1207","024"
Switz.,Angola,"758","2831","024"
DRC,Angola,"490","859","024"
Congo,Angola,"318","729","024"
Ireland,Angola,"236","1553","024"
UK,Angola,"184","3092","024"
USA,Angola,"184","3212","024"
Finland,Angola,"125","1009","024"
Canada,Antigua and Barbuda,"97","508","028"
USA,Argentina,"50","3213","032"
Canada,Argentina,"23","509","032"
Germany,Argentina,"13","1208","032"
Brazil,Argentina,"6","393","032"
Italy,Argentina,"5","1627","032"
Netherlands,Argentina,"5","2069","032"
France,Armenia,"4153","1063","051"
Germany,Armenia,"2262","1209","051"
USA,Armenia,"1621","3214","051"
Austria,Armenia,"602","179","051"
Sweden,Armenia,"445","2731","051"
Netherlands,Armenia,"408","2070","051"
Italy,Armenia,"301","1628","051"
UK,Armenia,"192","3051","051"
Belgium,Armenia,"151","275","051"
Switz.,Armenia,"142","2832","051"
Germany,Azerbaijan,"3547","1210","031"
France,Azerbaijan,"2905","1064","031"
Armenia,Azerbaijan,"1999","79","031"
Sweden,Azerbaijan,"668","2732","031"
Canada,Azerbaijan,"354","511","031"
USA,Azerbaijan,"338","3215","031"
Austria,Azerbaijan,"291","180","031"
Netherlands,Azerbaijan,"244","2071","031"
Ukraine,Azerbaijan,"148","3052","031"
Belgium,Azerbaijan,"94","276","031"
Canada,Bahamas,"214","512","044"
USA,Bahamas,"178","3216","044"
UK,Bahrain,"165","3095","048"
Australia,Bahrain,"96","93","048"
Germany,Bahrain,"78","1211","048"
Canada,Bahrain,"56","513","048"
USA,Bahrain,"47","3217","048"
Lebanon,Bahrain,"26","1799","048"
NZ,Bahrain,"24","2148","048"
Sweden,Bahrain,"15","2733","048"
France,Bahrain,"8","1065","048"
Italy,Bangladesh,"7688","1630","050"
France,Bangladesh,"5315","1066","050"
USA,Bangladesh,"1421","3218","050"
UK,Bangladesh,"1163","3096","050"
Canada,Bangladesh,"981","514","050"
Germany,Bangladesh,"659","1212","050"
Australia,Bangladesh,"416","94","050"
S. Africa,Bangladesh,"319","2620","050"
Austria,Bangladesh,"293","181","050"
Greece,Bangladesh,"259","1363","050"
Canada,Barbados,"185","515","052"
UK,Barbados,"10","3097","052"
USA,Belarus,"1559","3219","112"
France,Belarus,"511","1067","112"
Czechia,Belarus,"364","824","112"
Poland,Belarus,"189","2370","112"
Germany,Belarus,"185","1213","112"
UK,Belarus,"145","3098","112"
Sweden,Belarus,"128","2735","112"
Canada,Belarus,"102","516","112"
Austria,Belarus,"78","182","112"
Netherlands,Belarus,"56","2073","112"
USA,Belgium,"31","3220","056"
Canada,Belgium,"14","517","056"
Germany,Belgium,"5","1214","056"
USA,Belize,"43","3221","084"
Canada,Belize,"16","518","084"
Italy,Benin,"262","1632","204"
USA,Benin,"96","3222","204"
Germany,Benin,"79","1215","204"
Canada,Benin,"61","519","204"
Belgium,Benin,"41","279","204"
France,Benin,"39","1068","204"
Switz.,Benin,"22","2836","204"
Sweden,Benin,"8","2736","204"
UK,Benin,"7","3099","204"
Netherlands,Benin,"6","2074","204"
Nepal,Bhutan,"6809","2059","064"
Netherlands,Bhutan,"169","2075","064"
France,Bhutan,"117","1069","064"
UK,Bhutan,"79","3100","064"
USA,Bhutan,"42","3223","064"
Brazil,Bhutan,"30","395","064"
Germany,Bhutan,"21","1216","064"
Ireland,Bhutan,"10","1558","064"
Sweden,Bhutan,"7","2737","064"
Canada,Bhutan,"6","520","064"
Brazil,Bolivia (Plurinational State of),"153","396","068"
USA,Bolivia (Plurinational State of),"110","3224","068"
Sweden,Bolivia (Plurinational State of),"62","2738","068"
Canada,Bolivia (Plurinational State of),"49","521","068"
France,Bolivia (Plurinational State of),"37","1070","068"
Paraguay,Bolivia (Plurinational State of),"17","2313","068"
UK,Bolivia (Plurinational State of),"15","3101","068"
Italy,Bolivia (Plurinational State of),"13","1633","068"
Austria,Bolivia (Plurinational State of),"11","183","068"
Peru,Bolivia (Plurinational State of),"9","2322","068"
Serbia,Bosnia and Herzegovina,"8765","2564","070"
France,Bosnia and Herzegovina,"4095","1071","070"
Switz.,Bosnia and Herzegovina,"1956","2837","070"
Germany,Bosnia and Herzegovina,"1471","1218","070"
Italy,Bosnia and Herzegovina,"648","1634","070"
Sweden,Bosnia and Herzegovina,"140","2739","070"
Austria,Bosnia and Herzegovina,"106","184","070"
