Destinatio,Origin,Population,id,iso_n3
Slovakia,Bulgaria,"8","2581","100"
Switz.,Bulgaria,"8","2839","100"
Mali,Burkina Faso,"7374","1927","854"
USA,Burkina Faso,"1236","3228","854"
Italy,Burkina Faso,"1105","1636","854"
France,Burkina Faso,"218","1074","854"
Belgium,Burkina Faso,"100","282","854"
Canada,Burkina Faso,"95","526","854"
Germany,Burkina Faso,"84","1221","854"
Switz.,Burkina Faso,"20","2840","854"
Greece,Burkina Faso,"15","1365","854"
Netherlands,Burkina Faso,"14","2077","854"
Tanzania,Burundi,"237902","3206","108"
Rwanda,Burundi,"67202","2532","108"
DRC,Burundi,"46500","860","108"
Uganda,Burundi,"31152","3031","108"
Zambia,Burundi,"3811","3397","108"
S. Africa,Burundi,"3033","2621","108"
Kenya,Burundi,"2875","1760","108"
Malawi,Burundi,"2467","1897","108"
Canada,Burundi,"2182","527","108"
Mozambique,Burundi,"1031","2035","108"
Liberia,C̫te d'Ivoire,"9466","1820","384"
Italy,C̫te d'Ivoire,"6949","1645","384"
Ghana,C̫te d'Ivoire,"6645","1340","384"
Guinea,C̫te d'Ivoire,"4242","1431","384"
France,C̫te d'Ivoire,"3715","1085","384"
Togo,C̫te d'Ivoire,"1951","2968","384"
USA,C̫te d'Ivoire,"1249","3241","384"
Mali,C̫te d'Ivoire,"550","1931","384"
Angola,C̫te d'Ivoire,"510","23","384"
Germany,C̫te d'Ivoire,"445","1232","384"
France,Cambodia,"11241","1076","116"
Switz.,Cambodia,"316","2842","116"
Thailand,Cambodia,"189","2943","116"
USA,Cambodia,"143","3230","116"
Canada,Cambodia,"72","528","116"
Malaysia,Cambodia,"70","1904","116"
Australia,Cambodia,"32","97","116"
Germany,Cambodia,"29","1223","116"
Netherlands,Cambodia,"17","2079","116"
Belgium,Cambodia,"9","284","116"
Nigeria,Cameroon,"23502","2199","120"
USA,Cameroon,"4089","3231","120"
Italy,Cameroon,"1578","1638","120"
France,Cameroon,"1113","1077","120"
Canada,Cameroon,"1082","529","120"
Germany,Cameroon,"654","1224","120"
UK,Cameroon,"546","3107","120"
Belgium,Cameroon,"494","285","120"
S. Africa,Cameroon,"392","2622","120"
Austria,Cameroon,"228","187","120"
USA,Canada,"42","3232","124"
Germany,Canada,"25","1225","124"
UK,Canada,"9","3108","124"
USA,Cayman Islands,"6","3233","136"
Cameroon,Central African Rep.,"259775","490","140"
DRC,Central African Rep.,"176319","861","140"
Chad,Central African Rep.,"102541","674","140"
Congo,Central African Rep.,"26879","731","140"
Sudan,Central African Rep.,"5054","2713","140"
France,Central African Rep.,"2814","1078","140"
S. Africa,Central African Rep.,"1890","2639","140"
Benin,Central African Rep.,"912","362","140"
Mali,Central African Rep.,"824","1929","140"
Mauritania,Central African Rep.,"560","1968","140"
Sudan,Chad,"4230","2714","148"
CAR,Chad,"1682","662","148"
Cameroon,Chad,"1543","491","148"
France,Chad,"1470","1079","148"
Gabon,Chad,"561","1179","148"
Italy,Chad,"456","1640","148"
Canada,Chad,"432","531","148"
USA,Chad,"328","3235","148"
Angola,Chad,"184","22","148"
Niger,Chad,"165","2187","148"
Germany,Chile,"174","1228","152"
France,Chile,"65","1080","152"
Canada,Chile,"54","532","152"
Belgium,Chile,"43","288","152"
Argentina,Chile,"33","44","152"
USA,Chile,"26","3236","152"
Brazil,Chile,"21","400","152"
Sweden,Chile,"16","2745","152"
Switz.,Chile,"12","2846","152"
Venezuela,Chile,"10","3377","152"
Bolivia,Chile,"9","371","152"
India,China,"108008","1505","156"
USA,China,"75937","3237","156"
Canada,China,"7265","533","156"
France,China,"5099","1081","156"
Switz.,China,"2962","2847","156"
Australia,China,"2411","99","156"
Germany,China,"1591","1229","156"
UK,China,"1491","3111","156"
Belgium,China,"1341","289","156"
