Destination,Origin,Orig_x,Orig_y,Population,Dest_x,Dest_y,iso_n3_d
Afghanistan,Pakistan,69.345116,30.375321,78351,67.709953,33.93911,004
Afghanistan,Iran,53.688046,32.427908,32,67.709953,33.93911,004
Albania,Serb. & Kos.: S/RES/1244 (1999),21.005859,44.016521,58,20.168331,41.153332,008
Albania,China,104.195397,35.86166,13,20.168331,41.153332,008
Albania,Iran,53.688046,32.427908,12,20.168331,41.153332,008
Albania,Iraq,43.679291,33.223191,5,20.168331,41.153332,008
Albania,Syria,38.996815,34.802075,5,20.168331,41.153332,008
Algeria,Western Sahara,-12.885834,24.215527,173600,1.659626,28.033886,012
Algeria,Palestine,34.308825,31.354676,4013,1.659626,28.033886,012
Algeria,DRC,21.758664,-4.038333,52,1.659626,28.033886,012
Algeria,CAR,20.939444,6.611111,51,1.659626,28.033886,012
Algeria,Mali,-3.996166,17.570692,37,1.659626,28.033886,012
Algeria,C̫te d'Ivoire,-5.54708,7.539989,31,1.659626,28.033886,012
Algeria,Cameroon,12.354722,7.369722,19,1.659626,28.033886,012
Algeria,Libya,17.228331,26.3351,19,1.659626,28.033886,012
Algeria,Iraq,43.679291,33.223191,13,1.659626,28.033886,012
Algeria,Syria,38.996815,34.802075,12,1.659626,28.033886,012
Angola,DRC,21.758664,-4.038333,35322,17.873887,-11.202692,024
Angola,C̫te d'Ivoire,-5.54708,7.539989,510,17.873887,-11.202692,024
Angola,Sierra Leone,-11.779889,8.460555,374,17.873887,-11.202692,024
Angola,Sudan,30.217636,12.862807,313,17.873887,-11.202692,024
Angola,Mauritania,-10.940835,21.00789,306,17.873887,-11.202692,024
Angola,Somalia,46.199616,5.152149,288,17.873887,-11.202692,024
Angola,Rwanda,29.873888,-1.940278,273,17.873887,-11.202692,024
Angola,Chad,18.732207,15.454166,184,17.873887,-11.202692,024
Angola,Liberia,-9.429499,6.428055,155,17.873887,-11.202692,024
Angola,Guinea,-9.696645,9.945587,107,17.873887,-11.202692,024
Argentina,Peru,-75.015152,-9.189967,546,-63.616672,-38.416097,032
Argentina,Colombia,-74.297333,4.570868,544,-63.616672,-38.416097,032
Argentina,Syria,38.996815,34.802075,371,-63.616672,-38.416097,032
Argentina,Cuba,-77.781167,21.521757,254,-63.616672,-38.416097,032
Argentina,Ukraine,31.16558,48.379433,94,-63.616672,-38.416097,032
Argentina,Armenia,45.038189,40.069099,78,-63.616672,-38.416097,032
Argentina,Haiti,-72.285215,18.971187,66,-63.616672,-38.416097,032
Argentina,Russia,105.318756,61.52401,65,-63.616672,-38.416097,032
Argentina,Romania,24.96676,45.943161,51,-63.616672,-38.416097,032
Argentina,Liberia,-9.429499,6.428055,44,-63.616672,-38.416097,032
Armenia,Syria,38.996815,34.802075,14700,45.038189,40.069099,051
Armenia,Azerbaijan,47.576927,40.143105,1999,45.038189,40.069099,051
Armenia,Iraq,43.679291,33.223191,1076,45.038189,40.069099,051
Armenia,Ukraine,31.16558,48.379433,114,45.038189,40.069099,051
Armenia,Iran,53.688046,32.427908,35,45.038189,40.069099,051
Armenia,Lebanon,35.862285,33.854721,19,45.038189,40.069099,051
Armenia,Yemen,48.516388,15.552727,18,45.038189,40.069099,051
Armenia,Georgia,43.356892,42.315407,8,45.038189,40.069099,051
Armenia,Palestine,34.308825,31.354676,7,45.038189,40.069099,051
Armenia,C̫te d'Ivoire,-5.54708,7.539989,6,45.038189,40.069099,051
Australia,Afghanistan,67.709953,33.93911,11618,133.775136,-25.274398,036
Australia,Iran,53.688046,32.427908,9500,133.775136,-25.274398,036
Australia,Pakistan,69.345116,30.375321,4819,133.775136,-25.274398,036
Australia,Sri Lanka,80.771797,7.873054,4673,133.775136,-25.274398,036
Australia,Iraq,43.679291,33.223191,4426,133.775136,-25.274398,036
Australia,China,104.195397,35.86166,2411,133.775136,-25.274398,036
Australia,Egypt,30.802498,26.820553,1562,133.775136,-25.274398,036
Australia,Libya,17.228331,26.3351,1029,133.775136,-25.274398,036
Australia,Zimbabwe,29.154857,-19.015438,919,133.775136,-25.274398,036
