ADM0_A3,NAME,HDI,Years_school,Pop_mil,Surface_sqkm,Pop_below_550_day,environ,id,iso_n3,refugees,flow_out
LSO,Lesotho,0.52,6.3,2.2,30.4,89.9,3.4,426,426,79,6
URY,Uruguay,0.804,8.7,3.5,176.2,2.9,0.3,858,858,344,7
TLS,Timor-Leste,0.625,4.5,1.3,14.9,94,0,626,626,0,8
SWE,Sweden,0.933,12.4,10.1,447.4,1,0,752,752,242725,17
SVN,Slovenia,0.896,12.2,2.1,20.7,0.2,0,705,705,666,18
SUR,Suriname,0.72,8.5,0.6,163.8,55.7,0.3,740,740,47,19
OMN,Oman,0.821,9.5,4.6,309.5,0,0,512,512,309,28
QAT,Qatar,0.856,9.8,2.6,11.6,0,0,634,634,189,31
PAN,Panama,0.789,10.2,4.1,75.4,14.1,0.2,591,591,2467,34
NZL,New Zealand,0.917,12.5,4.8,267.7,0,0,554,554,1550,34
NLD,Netherlands,0.931,12.2,17.1,41.5,0.5,0,528,528,102899,35
ESP,Spain,0.891,9.8,46.6,505.9,3.2,0.7,724,724,18631,36
MOZ,Mozambique,0.437,3.5,29.7,786.4,91.8,3.7,508,508,4993,40
JPN,Japan,0.909,12.8,126.8,378,1,0,392,392,1972,42
FRA,France,0.901,11.5,67.1,549.1,0.2,0,250,250,355222,50
BEL,Belgium,0.916,11.8,11.4,30.5,0.2,0,056,056,59208,50
ITA,Italy,0.88,10.2,60.5,301.3,3.5,0,380,380,180829,51
LTU,Lithuania,0.858,13,2.8,65.3,4.2,0,440,440,1674,55
DEU,Germany,0.936,14.1,82.7,357.6,0.2,0,276,276,1021706,57
BLZ,Belize,0.708,10.5,0.4,23,53,0.8,084,084,28,59
PRY,Paraguay,0.702,8.4,6.8,406.8,18.6,0.7,600,600,217,61
CAN,Canada,0.926,13.3,36.7,9984.7,1,0,124,124,110123,76
GBR,United Kingdom,0.922,12.9,66,243.6,0.7,0,826,826,124018,84
GRC,Greece,0.87,10.8,10.8,132,6.7,0,300,300,55565,101
ARG,Argentina,0.825,9.9,44.3,2780.4,7.1,0.2,032,032,3378,102
GNQ,Eq. Guinea,0.591,5.5,1.3,28.1,0,0,226,226,0,119
ARE,United Arab Emirates,0.863,10.8,9.4,83.6,0,0,784,784,969,147
LVA,Latvia,0.847,12.8,1.9,64.5,4,0,428,428,655,148
THA,Thailand,0.755,7.6,69,513.1,7.8,3.8,764,764,102223,160
CRI,Costa Rica,0.794,8.8,4.9,51.1,9.7,0.7,188,188,4600,190
SWZ,eSwatini,0.588,6.5,1.4,17.4,82,9.2,748,748,0,224
KOR,South Korea,0.903,12.1,51.5,100.3,1.2,0.1,410,410,2379,233
ZMB,Zambia,0.588,7,17.1,752.6,87.2,4.2,894,894,45870,259
GUY,Guyana,0.654,8.4,0.8,215,56.4,7.2,328,328,14,263
MDG,Madagascar,0.519,6.1,25.6,587.3,97.3,0.9,450,450,44,275
EST,Estonia,0.871,12.7,1.3,45.3,2,0,233,233,403,277
BWA,Botswana,0.717,9.3,2.3,581.7,60.4,0.7,072,072,2081,280
GAB,Gabon,0.702,8.2,2,267.7,32.2,0,266,266,833,283
USA,United States of America,0.924,13.4,325.1,9831.5,2,0.2,840,840,299653,290
TTO,Trinidad and Tobago,0.784,10.9,1.4,5.1,32.9,0,780,780,311,312
TKM,Turkmenistan,0.706,9.8,5.8,488.1,92.5,0,795,795,23,385
BHS,Bahamas,0.807,11.1,0.4,13.9,0,0,044,044,14,392
PNG,Papua New Guinea,0.544,4.6,8.3,462.8,86.9,0.7,598,598,9880,421
DOM,Dominican Rep.,0.736,7.8,10.8,48.7,19.9,0.1,214,214,583,423
MWI,Malawi,0.477,4.5,18.6,118.5,96.7,8.8,454,454,13660,424
ZAF,South Africa,0.699,10.1,56.7,1219.1,57.1,1.8,710,710,89285,455
CHL,Chile,0.843,10.3,18.1,756.7,6.4,0.3,152,152,2032,471
PHL,Philippines,0.699,9.3,104.9,300,63.2,0.8,608,608,574,474
ISR,Israel,0.903,13,8.7,22.1,2.7,0,376,376,17958,483
BOL,Bolivia,0.693,8.9,11.1,1098.6,24.7,1.3,068,068,828,500
BEN,Benin,0.515,3.6,11.2,114.8,90.6,0.9,204,204,1149,621
MYS,Malaysia,0.802,10.2,31.6,330.3,2.7,0.1,458,458,112654,640
BGR,Bulgaria,0.813,11.8,7.1,111,8.7,0,100,100,19562,677
TZA,Tanzania,0.538,5.8,57.3,947.3,93.1,1.5,834,834,295866,687
FJI,Fiji,0.741,10.8,0.9,18.3,48.6,1.7,242,242,4,704
MNE,Montenegro,0.814,11.3,0.6,13.8,4.8,0,499,499,835,720
BRA,Brazil,0.759,7.8,209.3,8515.8,21,0.5,076,076,10850,923
PRK,North Korea,0,0,25.5,120.5,0,2.5,408,408,0,1001
POL,Poland,0.865,12.3,38,312.7,2.1,0,616,616,12381,1072
SVK,Slovakia,0.855,12.5,5.4,49,3,0,703,703,934,1088
KWT,Kuwait,0.803,7.3,4.1,17.8,0,0,414,414,620,1098
ROU,Romania,0.811,11,19.6,238.4,25.7,0.1,642,642,4072,1206
