type,lat,long
b,14.9337,45.9010
b,13.0533,45.3233
b,13.7674,45.8070
b,3.6829,45.6630
b,13.3828,45.8122
b,14.1095,44.1951
b,14.1057,45.4481
b,1.7131,44.7639
b,10.2793,9.9397
b,13.0567,44.8819
b,5.8875,14.5508
b,11.0840,13.6925
b,13.6957,44.7314
b,12.8685,44.9843
b,11.6173,32.7305
b,12.0556,24.8906
b,10.9498,24.5800
b,11.0432,25.6139
b,12.0556,24.8906
b,10.9498,24.5800
b,14.4151,44.8371
b,31.1316,33.7984
b,30.8042,18.0772
b,13.0977,12.4952
b,13.0977,12.4952
b,14.7275,37.8031
b,10.4415,9.2396
b,11.0162,8.9024
b,3.3280,42.2199
b,10.1614,12.7399
b,13.0567,44.8819
b,2.0333,45.3500
b,11.0142,29.7294
b,13.0947,13.8234
b,1.7514,44.5212
b,10.5988,32.1888
b,10.5988,32.1888
b,4.3535,43.1616
b,1.1132,44.0297
b,23.8334,97.6798
b,11.7921,13.1272
b,32.4764,11.7679
b,2.6295,44.6977
b,10.6159,13.3849
b,31.2946,30.5226
b,10.6159,13.3849
b,13.0950,24.2774
b,14.4456,44.8685
b,32.7577,12.3772
b,15.4493,45.0189
b,33.5477,70.6250
b,3.1685,42.4947
b,1.1132,44.0297
b,4.0552,43.2471
b,11.0142,29.7294
b,-1.4280,28.0730
b,10.5909,14.3159
b,14.0903,44.6701
b,13.5736,43.9925
b,27.5271,68.7452
b,4.7360,45.2043
b,32.8941,13.2760
b,5.1600,31.7700
b,32.5680,69.8291
b,3.7284,42.9101
b,33.6713,70.5012
b,4.0182,44.5127
b,11.7652,12.2605
b,-2.2717,40.9020
b,12.7575,44.7400
b,12.7394,44.8842
b,14.5377,46.8319
b,11.7898,34.3599
b,30.7778,17.8354
b,0.4966,29.4654
b,31.2160,34.1110
b,12.7841,44.9989
b,11.0840,13.6925
b,12.8870,44.9844
b,26.5921,12.7805
b,11.4619,26.1258
b,18.4400,1.4100
b,4.1319,44.0045
b,0.4966,29.4654
b,15.4887,44.6657
b,1.6584,44.5800
b,2.0205,45.2897
b,31.1316,33.7984
b,4.7360,45.2043
b,17.4933,44.1277
b,13.5736,43.9925
b,13.5694,44.0249
b,13.5777,44.0397
b,4.3620,18.5866
b,32.0984,20.1767
b,31.9498,19.9459
b,3.3280,42.2199
b,12.9440,13.1840
b,3.1676,43.0638
b,13.9596,43.7419
b,3.8491,47.1803
b,2.2983,45.7980
b,2.7206,44.2106
b,31.2160,34.1110
b,13.2106,44.7850
b,2.6557,46.0091
b,8.8592,0.0593
b,15.4553,45.3691
b,13.5624,44.0162
b,3.1500,41.3300
b,0.4063,41.0124
b,13.2106,44.7850
b,13.9995,22.6150
b,12.8738,44.9069
b,31.2878,34.2369
