name,total,m_total,f_total,f_0-4,f_5-11,f_18-59,f_12-17,f_5-17,f_60+,f_unknown,m_0-4,m_12-17,m_18-59,m_5-11,m_5-17,m_60+,m_unknown,admin_id
Niger,310403,145964,164439,22575,45514,69786,21094,,5466,,22555,19984,51308,44792,,7322,,562
Nigeria,34219,15258,18961,2668,3672,9602,2223,,792,,2673,1911,6692,3524,,452,,566
Oman,564,280,284,8,51,166,40,,19,,11,37,175,41,,16,,512
Pakistan,1589038,852369,736669,94093,164517,337379,112309,,28364,,101908,122176,400283,180154,,47836,,586
Peru,230898,139072,91826,3567,4199,80510,2450,,1100,,3818,2744,127324,4419,,767,,604
Philippines,1863,1082,821,29,124,526,55,,75,,32,56,749,109,,110,,608
Poland,1260,629,631,91,180,266,80,,0,,118,77,256,167,,0,,616
Qatar,282,137,145,,21,83,20,,18,,,8,82,23,,21,,634
Korea,22688,16997,5691,246,214,5031,129,,23,,254,214,16217,229,,40,,410
Moldova,522,351,171,,20,105,18,,25,,,15,296,18,,19,,498
Romania,4157,2683,1474,155,241,877,145,,56,,187,186,1954,267,,89,,642
Rwanda,152572,74262,78310,12489,15182,36642,10923,,3065,,12783,11062,32842,15390,,2172,,646
Saudi Arabia,2436,1265,1171,183,247,565,133,,43,,199,161,580,268,,57,,682
Senegal,16069,7973,8096,829,1931,3683,1215,,424,,885,1119,3681,1865,,413,,686
Serbia,228270,111079,117191,2209,8199,62250,8902,,35619,,2169,10372,63888,8112,,26525,,688
Slovakia,2489,1673,816,6,25,736,45,,,,6,34,1611,22,,0,,703
Slovenia,618,417,201,11,46,120,21,,,,10,55,295,50,,7,,705
Somalia,2768974,1369304,1399670,350397,308295,563854,161110,,16014,,368967,162704,497228,322547,,17858,,706
S. Sudan,294383,139446,154937,28365,38534,60536,23681,,3818,,29789,22745,43695,39517,,3694,,728
Sri Lanka,2918,1610,1308,91,196,760,111,,135,,110,133,1022,222,,109,,144
Sudan,1018612,489219,529393,73509,124823,231451,73557,,26051,,76027,75719,189996,124646,,22827,,729
Swaziland,1629,1021,608,70,116,355,61,,,,43,76,775,111,,16,,748
Switzerland,61454,37234,24220,2923,3314,14941,2089,,953,,3065,3144,26732,3546,,747,,756
Syria,37460,18236,19230,2418,4066,8996,2726,,1000,,2480,2639,7719,4124,,1253,,760
Tajikistan,3847,1406,2446,47,385,1611,331,,71,,39,304,611,380,,71,,762
Thailand,103287,51564,51723,4664,8767,27955,7257,,3075,,4964,7512,27011,9152,,2924,,764
Macedonia,946,483,487,15,42,294,60,,38,,30,72,270,70,,21,,807
Togo,13035,5930,7105,1365,1626,3107,698,,309,,1317,727,1990,1731,,163,,768
Tunisia,1317,775,542,39,77,288,52,,16,,41,84,493,87,,5,,788
Turkey,3993401,2198813,1794588,299104,335239,888813,209256,,62154,,319892,245774,1216272,358733,,58118,,792
Turkmenistan,12,11,6,0,0,6,0,,0,,0,0,10,0,,0,,795
