Extracted:,United Nations High Commissioner for Refugees
Date extracted:,29/06/2019 22:57:31
Last updated:,29/06/2019 22:57:31

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, April 2019
Country of origin:,"AFG,BTN,COD,ERI,IRN,IRQ,MMR,SOM,SDN,SYR"
Country of asylum:,""
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2014,ERI,"Eritrea",-,"-",FRA,"France",8
2014,IRQ,"Iraq",-,"-",ROU,"Romania",40
2014,SYR,"Syrian Arab Rep.",-,"-",FRA,"France",256
2014,All others,"All others",-,"-",DEU,"Germany",79
2014,IRN,"Iran (Islamic Rep. of)",-,"-",FIN,"Finland",81
2014,SDN,"Sudan",-,"-",CAN,"Canada",94
2014,SYR,"Syrian Arab Rep.",-,"-",DNK,"Denmark",9
2014,ERI,"Eritrea",-,"-",AUT,"Austria",2
2014,MMR,"Myanmar",-,"-",SWE,"Sweden",10
2014,All others,"All others",-,"-",NZL,"New Zealand",254
2014,SDN,"Sudan",-,"-",USA,"United States of America",458
2014,IRQ,"Iraq",-,"-",NZL,"New Zealand",18
2014,SDN,"Sudan",-,"-",FIN,"Finland",1
2014,SOM,"Somalia",-,"-",USA,"United States of America",8652
2014,All others,"All others",-,"-",DNK,"Denmark",123
2014,COD,"Dem. Rep. of the Congo",-,"-",CAN,"Canada",688
2014,IRQ,"Iraq",-,"-",MEX,"Mexico",1
2014,AFG,"Afghanistan",-,"-",NZL,"New Zealand",98
2014,MMR,"Myanmar",-,"-",DEU,"Germany",16
2014,BTN,"Bhutan",-,"-",CAN,"Canada",410
2014,IRQ,"Iraq",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",10
2014,IRN,"Iran (Islamic Rep. of)",-,"-",USA,"United States of America",1062
2014,All others,"All others",-,"-",PRT,"Portugal",10
2014,COD,"Dem. Rep. of the Congo",-,"-",FIN,"Finland",203
2014,ERI,"Eritrea",-,"-",SWE,"Sweden",276
2014,SYR,"Syrian Arab Rep.",-,"-",BEL,"Belgium",25
2014,ERI,"Eritrea",-,"-",DNK,"Denmark",5
2014,SYR,"Syrian Arab Rep.",-,"-",FIN,"Finland",436
2014,All others,"All others",-,"-",ARG,"Argentina",21
2014,SYR,"Syrian Arab Rep.",-,"-",DEU,"Germany",3183
2014,ERI,"Eritrea",-,"-",AUS,"Australia",151
2014,SYR,"Syrian Arab Rep.",-,"-",IRL,"Ireland",90
2014,IRQ,"Iraq",-,"-",FIN,"Finland",14
2014,AFG,"Afghanistan",-,"-",DEU,"Germany",16
2014,IRQ,"Iraq",-,"-",SWE,"Sweden",7
2014,All others,"All others",-,"-",FIN,"Finland",15
2014,IRN,"Iran (Islamic Rep. of)",-,"-",PRT,"Portugal",2
2014,SOM,"Somalia",-,"-",NZL,"New Zealand",16
2014,All others,"All others",-,"-",FRA,"France",50
2014,IRQ,"Iraq",-,"-",NLD,"Netherlands",50
2014,SOM,"Somalia",-,"-",FRA,"France",11
2014,ERI,"Eritrea",-,"-",CAN,"Canada",413
2014,SDN,"Sudan",-,"-",SWE,"Sweden",43
2014,COD,"Dem. Rep. of the Congo",-,"-",IRL,"Ireland",8
2014,SYR,"Syrian Arab Rep.",-,"-",URY,"Uruguay",42
2014,SYR,"Syrian Arab Rep.",-,"-",CHE,"Switzerland",114
2014,AFG,"Afghanistan",-,"-",FRA,"France",37
2014,SOM,"Somalia",-,"-",SWE,"Sweden",237
2014,All others,"All others",-,"-",ROU,"Romania",4
2014,IRQ,"Iraq",-,"-",DEU,"Germany",133
2014,SYR,"Syrian Arab Rep.",-,"-",LIE,"Liechtenstein",5
2014,COD,"Dem. Rep. of the Congo",-,"-",NOR,"Norway",64
