Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
"2015,SYR,""Syrian Arab Rep."",-,""-"",AUS,""Australia"",167"
"2015,SYR,""Syrian Arab Rep."",-,""-"",ISL,""Iceland"",12"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",AUS,""Australia"",222"
"2015,SOM,""Somalia"",-,""-"",CAN,""Canada"",355"
"2015,SYR,""Syrian Arab Rep."",-,""-"",NLD,""Netherlands"",236"
"2015,IRQ,""Iraq"",-,""-"",USA,""United States of America"",4119"
"2015,AFG,""Afghanistan"",-,""-"",SWE,""Sweden"",213"
"2015,ERI,""Eritrea"",-,""-"",NLD,""Netherlands"",11"
"2015,IRQ,""Iraq"",-,""-"",AUS,""Australia"",1159"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",FRA,""France"",2"
"2015,ERI,""Eritrea"",-,""-"",USA,""United States of America"",1457"
"2015,SYR,""Syrian Arab Rep."",-,""-"",LUX,""Luxembourg"",49"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",NZL,""New Zealand"",4"
"2015,ERI,""Eritrea"",-,""-"",FRA,""France"",18"
"2015,IRQ,""Iraq"",-,""-"",ROU,""Romania"",2"
"2015,SYR,""Syrian Arab Rep."",-,""-"",FRA,""France"",587"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",FIN,""Finland"",18"
"2015,SDN,""Sudan"",-,""-"",CAN,""Canada"",81"
"2015,SYR,""Syrian Arab Rep."",-,""-"",DNK,""Denmark"",145"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",CAN,""Canada"",547"
"2015,SYR,""Syrian Arab Rep."",-,""-"",PRT,""Portugal"",27"
"2015,MMR,""Myanmar"",-,""-"",SWE,""Sweden"",6"
"2015,MMR,""Myanmar"",-,""-"",KOR,""Rep. of Korea"",22"
"2015,SDN,""Sudan"",-,""-"",USA,""United States of America"",1519"
"2015,IRQ,""Iraq"",-,""-"",NZL,""New Zealand"",49"
"2015,SDN,""Sudan"",-,""-"",FIN,""Finland"",212"
"2015,BTN,""Bhutan"",-,""-"",NLD,""Netherlands"",1"
"2015,SOM,""Somalia"",-,""-"",USA,""United States of America"",7074"
"2015,SYR,""Syrian Arab Rep."",-,""-"",BLR,""Belarus"",14"
"2015,AFG,""Afghanistan"",-,""-"",DEU,""Germany"",5"
"2015,IRQ,""Iraq"",-,""-"",SWE,""Sweden"",48"
"2015,AFG,""Afghanistan"",-,""-"",NZL,""New Zealand"",151"
"2015,BTN,""Bhutan"",-,""-"",CAN,""Canada"",398"
"2015,IRQ,""Iraq"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",4"
"2015,IRN,""Iran (Islamic Rep. of)"",-,""-"",USA,""United States of America"",1190"
"2015,SDN,""Sudan"",-,""-"",NLD,""Netherlands"",6"
"2015,COD,""Dem. Rep. of the Congo"",-,""-"",FIN,""Finland"",151"
"2015,ERI,""Eritrea"",-,""-"",SWE,""Sweden"",48"
"2015,SYR,""Syrian Arab Rep."",-,""-"",BEL,""Belgium"",188"
"2015,SYR,""Syrian Arab Rep."",-,""-"",FIN,""Finland"",372"
"2015,SYR,""Syrian Arab Rep."",-,""-"",DEU,""Germany"",1627"
"2015,ERI,""Eritrea"",-,""-"",AUS,""Australia"",168"
"2015,SYR,""Syrian Arab Rep."",-,""-"",IRL,""Ireland"",145"
"2015,IRQ,""Iraq"",-,""-"",FIN,""Finland"",23"
