Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
"2017,COD,""Dem. Rep. of the Congo"",-,""-"",CAN,""Canada"",1022"
"2017,IRN,""Iran (Islamic Rep. of)"",-,""-"",FRA,""France"",1"
"2017,SYR,""Syrian Arab Rep."",-,""-"",PRT,""Portugal"",156"
"2017,SYR,""Syrian Arab Rep."",-,""-"",HRV,""Croatia"",40"
"2017,MMR,""Myanmar"",-,""-"",KOR,""Rep. of Korea"",30"
"2017,SDN,""Sudan"",-,""-"",USA,""United States of America"",582"
"2017,IRQ,""Iraq"",-,""-"",NZL,""New Zealand"",10"
"2017,SDN,""Sudan"",-,""-"",FIN,""Finland"",8"
"2017,SOM,""Somalia"",-,""-"",USA,""United States of America"",2394"
"2017,IRQ,""Iraq"",-,""-"",FIN,""Finland"",2"
"2017,SYR,""Syrian Arab Rep."",-,""-"",LVA,""Latvia"",40"
"2017,IRQ,""Iraq"",-,""-"",SWE,""Sweden"",25"
"2017,AFG,""Afghanistan"",-,""-"",NZL,""New Zealand"",119"
"2017,SDN,""Sudan"",-,""-"",DEU,""Germany"",119"
"2017,BTN,""Bhutan"",-,""-"",CAN,""Canada"",59"
"2017,IRQ,""Iraq"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",333"
"2017,ERI,""Eritrea"",-,""-"",ITA,""Italy"",78"
"2017,IRN,""Iran (Islamic Rep. of)"",-,""-"",USA,""United States of America"",669"
"2017,COD,""Dem. Rep. of the Congo"",-,""-"",FIN,""Finland"",34"
"2017,ERI,""Eritrea"",-,""-"",SWE,""Sweden"",479"
"2017,IRQ,""Iraq"",-,""-"",DEU,""Germany"",9"
"2017,SYR,""Syrian Arab Rep."",-,""-"",BEL,""Belgium"",1170"
"2017,SYR,""Syrian Arab Rep."",-,""-"",FIN,""Finland"",972"
"2017,SYR,""Syrian Arab Rep."",-,""-"",DEU,""Germany"",2796"
"2017,ERI,""Eritrea"",-,""-"",AUS,""Australia"",136"
"2017,SYR,""Syrian Arab Rep."",-,""-"",IRL,""Ireland"",261"
"2017,MMR,""Myanmar"",-,""-"",NZL,""New Zealand"",170"
"2017,SDN,""Sudan"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",282"
"2017,SOM,""Somalia"",-,""-"",NZL,""New Zealand"",14"
"2017,IRN,""Iran (Islamic Rep. of)"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",10"
"2017,IRQ,""Iraq"",-,""-"",NLD,""Netherlands"",6"
"2017,SOM,""Somalia"",-,""-"",FRA,""France"",1"
"2017,ERI,""Eritrea"",-,""-"",CAN,""Canada"",741"
"2017,SDN,""Sudan"",-,""-"",SWE,""Sweden"",50"
"2017,IRN,""Iran (Islamic Rep. of)"",-,""-"",LUX,""Luxembourg"",1"
"2017,SYR,""Syrian Arab Rep."",-,""-"",CHE,""Switzerland"",529"
"2017,AFG,""Afghanistan"",-,""-"",FRA,""France"",2"
"2017,SOM,""Somalia"",-,""-"",SWE,""Sweden"",73"
"2017,SYR,""Syrian Arab Rep."",-,""-"",LTU,""Lithuania"",58"
"2017,COD,""Dem. Rep. of the Congo"",-,""-"",NOR,""Norway"",47"
"2017,SDN,""Sudan"",-,""-"",AUS,""Australia"",29"
"2017,SDN,""Sudan"",-,""-"",NZL,""New Zealand"",3"
"2017,BTN,""Bhutan"",-,""-"",AUS,""Australia"",510"
"2017,SYR,""Syrian Arab Rep."",-,""-"",MLT,""Malta"",17"
"2017,IRN,""Iran (Islamic Rep. of)"",-,""-"",SWE,""Sweden"",1"
"2017,BTN,""Bhutan"",-,""-"",USA,""United States of America"",3364"
"2017,SYR,""Syrian Arab Rep."",-,""-"",ESP,""Spain"",1062"
"2017,SYR,""Syrian Arab Rep."",-,""-"",ROU,""Romania"",43"
"2017,IRQ,""Iraq"",-,""-"",NOR,""Norway"",6"
"2017,SYR,""Syrian Arab Rep."",-,""-"",EST,""Estonia"",19"
"2017,SYR,""Syrian Arab Rep."",-,""-"",USA,""United States of America"",2927"
"2017,COD,""Dem. Rep. of the Congo"",-,""-"",USA,""United States of America"",5297"
"2017,AFG,""Afghanistan"",-,""-"",CAN,""Canada"",40"
"2017,COD,""Dem. Rep. of the Congo"",-,""-"",BEL,""Belgium"",118"
"2017,IRN,""Iran (Islamic Rep. of)"",-,""-"",DEU,""Germany"",4"
"2017,IRQ,""Iraq"",-,""-"",ITA,""Italy"",3"
"2017,SYR,""Syrian Arab Rep."",-,""-"",NZL,""New Zealand"",312"
"2017,MMR,""Myanmar"",-,""-"",CAN,""Canada"",102"
"2017,COD,""Dem. Rep. of the Congo"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",291"
"2017,SYR,""Syrian Arab Rep."",-,""-"",SWE,""Sweden"",1587"
"2017,IRQ,""Iraq"",-,""-"",FRA,""France"",8"
"2017,SYR,""Syrian Arab Rep."",-,""-"",CAN,""Canada"",4137"
"2017,AFG,""Afghanistan"",-,""-"",FIN,""Finland"",51"
"2017,ERI,""Eritrea"",-,""-"",PRT,""Portugal"",2"
"2017,IRQ,""Iraq"",-,""-"",CHE,""Switzerland"",52"
"2017,MMR,""Myanmar"",-,""-"",JPN,""Japan"",29"
"2017,SYR,""Syrian Arab Rep."",-,""-"",ITA,""Italy"",832"
"2017,AFG,""Afghanistan"",-,""-"",AUS,""Australia"",898"
"2017,ERI,""Eritrea"",-,""-"",DEU,""Germany"",14"
"2017,SOM,""Somalia"",-,""-"",GBR,""United Kingdom of Great Britain and Northern Ireland"",263"
