Country; IN ;OUT;ISO
Slovenia; 666 ; 21 ;SVN
Somalia; 15,426 ; 954,701 ;SOM
South Africa; 89,285 ; 476 ;ZAF
South Sudan; 297,150 ; 2,214,595 ;SDS
Spain; 18,631 ; 45 ;ESP
Sri Lanka; 802 ; 114,602 ;LKA
Sudan; 908,692 ; 719,222 ;SDN
Suriname; 47 ; 19 ;SUR
Swaziland; 849 ; 238 ;SWZ
Sweden; 242,725 ; 20 ;SWE
Switzerland; 98,530 ; -   ;CHE
Syrian Arab Republic; 18,490 ; 6,490,950 ;SYR
Tajikistan; 2,647 ; 1,596 ;TJK
Thailand; 102,223 ; 179 ;THA
Togo; 12,426 ; 8,149 ;TGO
Trinidad and Tobago; 311 ; 313 ;TTO
Tunisia; 877 ; 1,931 ;TUN
Turkey; 3,621,264 ; 65,754 ;TUR
Turkmenistan; 23 ; 414 ;TKM
Turks and Caicos Islands; 5 ; 16 ;TCA
Uganda; 1,131,545 ; 6,630 ;UGA
Ukraine; 3,225 ; 119,832 ;UKR
United Arab Emirates; 969 ; 161 ;ARE
United Kingdom of Great Britain and Northern Ireland; 124,018 ; 84 ;GBR
United Republic of Tanzania; 295,866 ; 724 ;TZA
United States of America; 299,653 ; 322 ;USA
Uruguay; 344 ; 19 ;URY
Uzbekistan; 14 ; 3,380 ;UZB
Venezuela; 122,874 ; 12,664 ;VEN
Viet Nam; -   ; 334,317 ;VNM
West Bank; -   ; 101,125 ;PSX
Western Sahara; -   ; 200,333 ;SAH
Yemen; 271,554 ; 26,793 ;YEM
Zambia; 45,870 ; 283 ;ZMB
Zimbabwe; 7,707 ; 16,482 ;ZWE
